tag,dataset,lang,n_pairs,gallery_size,n_galleries,mean_diag_cos,median_diag_cos,p10_diag_cos,p90_diag_cos,i2t_r@1,i2t_r@5,i2t_r@10,t2i_r@1,t2i_r@5,t2i_r@10,source_dir
mc2_e0,cgoe,ms,161397,10000,5,0.10723476111888885,0.10701513290405273,0.02619136869907379,0.1880851835012436,0.0029199999757111073,0.00876000002026558,0.014199999906122685,0.0012999999802559615,0.004379999963566661,0.0067599998787045475,mc2_e0
mc2_e0,cgoe,su,21238,10000,5,0.11229047924280167,0.11082631349563599,0.02881823666393757,0.19786962866783142,0.0029000000096857546,0.009320000186562538,0.01472000014036894,0.0008000000001629814,0.002760000014677644,0.0053600000217556955,mc2_e0
mc2_e0,cgoe,th,58433,10000,5,0.007873673923313618,0.0018436592072248459,-0.04525987431406975,0.06951583921909332,0.00024000000703381375,0.0009799999883398415,0.0017199999885633588,7.999999797903001e-05,0.0005400000081863254,0.0009400000097230076,mc2_e0
mc2_e0,cgoe,vi,199562,10000,5,0.06276249140501022,0.058175742626190186,-0.007061799056828022,0.1392458826303482,0.0018400000175461174,0.0050200000405311584,0.007479999866336584,0.00018000000418396666,0.0006600000080652535,0.0013999999966472388,mc2_e0
mc2_e0,wit,id,146744,10000,5,0.18260613083839417,0.17839054763317108,0.09354987740516663,0.2814335227012634,0.036419999599456784,0.08199999928474426,0.10754000097513199,0.027140000462532045,0.06738000065088272,0.09217999875545502,mc2_e0
mc2_e0,wit,jv,11926,10000,5,0.1893342286348343,0.18207839131355286,0.10205318033695221,0.292289674282074,0.04683999940752983,0.09844000041484832,0.1240799993276596,0.033959999680519104,0.08193999826908112,0.10884000062942505,mc2_e0
mc2_e0,wit,ms,59504,10000,5,0.1815299242734909,0.1767728328704834,0.08826366066932678,0.28610822558403015,0.04013999998569488,0.08651999980211258,0.11346000134944915,0.02857999987900257,0.07180000096559525,0.09896000027656555,mc2_e0
mc2_e0,wit,my,9941,9941,1,0.09226410835981369,0.05017253756523132,-0.025253642350435257,0.29459983110427856,0.04476410895586014,0.087013378739357,0.10622673481702805,0.026757871732115746,0.0550246462225914,0.07514334470033646,mc2_e0
mc2_e0,wit,th,55594,10000,5,0.05738981440663338,0.04223662614822388,-0.020860977470874786,0.14799852669239044,0.020660000294446944,0.03789999932050705,0.04472000077366829,0.008679999969899654,0.01954000033438206,0.025520000234246255,mc2_e0
mc2_e0,wit,vi,203979,10000,5,0.1149936094880104,0.10000725090503693,0.01981262117624283,0.2368534654378891,0.022639999538660048,0.04560000076889992,0.058500000089406964,0.011720000021159648,0.027779999747872354,0.0379600003361702,mc2_e0
